Concept 1,Concept 2,Concept 3,Concept 4,Concept 5,Concept 6
Condiments,,,,,
Condiments,Sweeteners,,,,
Condiments,Dairy & Alternatives,,,,
Condiments,Dairy & Alternatives,Ice cream,,,
Condiments,Dairy & Alternatives,Milk,,,
Condiments,Dairy & Alternatives,Milk,Froth,,
Condiments,Dairy & Alternatives,Creamers,,,
Condiments,Dairy & Alternatives,Milk alternatives,,,
Condiments,Spirits,,,,
Variables,,,,,
Variables,Compounds,,,,
Variables,Compounds,Sugars,,,
Variables,Compounds,Lipids,,,
Variables,Compounds,Acids,,,
Variables,Compounds,Caffeine,,,
Variables,Brewing parameters,,,,
Variables,Brewing parameters,BAR,,,
Variables,Brewing parameters,Golden rule,,,
Variables,Brewing parameters,TDS,,,
Variables,Brewing parameters,Brew yield,,,
Variables,Brewing parameters,Brew ratio,,,
Variables,Brewing parameters,Brew strength,,,
Cupping,,,,,
Cupping,Finish,,,,
Cupping,Flavor & Aroma,,,,
Cupping,Flavor & Aroma,Acidity (Flavor),,,
Cupping,Flavor & Aroma,Bitterness,,,
Cupping,Body,,,,
Cupping,Body,Thin,,,
Cupping,Body,Winey,,,
Cupping,Body,Mellow,,,
Cupping,Body,Rich,,,
Cupping,Fragrance,,,,
Equipment,,,,,
Equipment,Coffee making machines,,,,
Equipment,Coffee making machines,Coffee makers,,,
Equipment,Coffee making machines,Coffee makers,Manual coffee makers,,
Equipment,Coffee making machines,Coffee makers,Manual coffee makers,French presses,
Equipment,Coffee making machines,Coffee makers,Manual coffee makers,Aeropress,
Equipment,Coffee making machines,Coffee makers,Manual coffee makers,Pour-over (Equipment),
Equipment,Coffee making machines,Coffee makers,Manual coffee makers,Percolators,
Equipment,Coffee making machines,Coffee makers,Manual coffee makers,Percolators,Moka pots
Equipment,Coffee making machines,Coffee makers,Manual coffee makers,Cezve pots,
Equipment,Coffee making machines,Coffee makers,Home coffee brewers,,
Equipment,Coffee making machines,Coffee machine parts,,,
Equipment,Coffee making machines,Coffee machine parts,Filters,,
Equipment,Coffee making machines,Coffee machine parts,Filters,Portafilters,
Equipment,Coffee making machines,Coffee machine parts,Filters,Slurry,
Equipment,Coffee making machines,Coffee machine parts,Filters,Pucks,
Equipment,Coffee making machines,Coffee machine parts,Spouts,,
Equipment,Coffee making machines,Coffee machine parts,Steam wands,,
Equipment,Coffee making machines,Coffee machine parts,Steam wands,Non-automated steam wands,
Equipment,Coffee making machines,Coffee machine parts,Steam wands,Steam wand valve assemblies,
Equipment,Coffee making machines,Coffee machine parts,Tampers,,
Equipment,Coffee making machines,Coffee machine parts,Groups,,
Equipment,Coffee making machines,Coffee machine parts,Groups,Dispersion screens,
Equipment,Coffee making machines,Espresso machines,,,
Equipment,Grinders,,,,
Equipment,Grinders,Grounds receivers,,,
Equipment,Grinders,Hoppers,,,
Equipment,Grinders,Dosers,,,
Equipment,Coffee drinking glasses,,,,
Equipment,Coffee drinking glasses,Cupping glasses,,,
Equipment,Coffee drinking glasses,Demitasse,,,
Equipment,Coffee refractometers,,,,
Coffee Styles,,,,,
Coffee Styles,Decaf,,,,
Coffee Styles,Instant coffee,,,,
Coffee Styles,Drip coffee,,,,
Coffee Styles,Drip coffee,Iced coffee,,,
Coffee Styles,Drip coffee,Irish coffee,,,
Coffee Styles,Drip coffee,Cold brew,,,
Coffee Styles,Drip coffee,Cold brew,Nitro coffee,,
,,,,,
Coffee Styles,Drip coffee,Cafe au lait,,,
Coffee Styles,Drip coffee,Red eye,,,
Coffee Styles,Drip coffee,Red eye,Black eye,,
Coffee Styles,Espresso,,,,
Coffee Styles,Espresso,Raf coffee,,,
Coffee Styles,Espresso,Doppio,,,
Coffee Styles,Espresso,Cafe creme,,,
Coffee Styles,Espresso,Cortado,,,
Coffee Styles,Espresso,Flat white,,,
Coffee Styles,Espresso,Americano,,,
Coffee Styles,Espresso,Corretto,,,
Coffee Styles,Espresso,Affogato,,,
Coffee Styles,Espresso,Cappuccino,,,
Coffee Styles,Espresso,[appearance of],,,
Coffee Styles,Espresso,[appearance of],Coda di topo,,
Coffee Styles,Espresso,[appearance of],Tiger striping,,
Coffee Styles,Espresso,[appearance of],Blonding,,
Coffee Styles,Espresso,[appearance of],Coffee bloom,,
Coffee Styles,Espresso,[appearance of],Crema,,
Coffee Styles,Espresso,[appearance of],Crema,Mottling,
Coffee Styles,Espresso,[appearance of],Channeling,,
Coffee Styles,Espresso,Macchiato,,,
Coffee Styles,Espresso,Mocha,,,
Coffee Styles,Espresso,Lungo,,,
Coffee Styles,Espresso,Latte,,,
Coffee Styles,Espresso,Ristretto,,,
Coffee Styles,Espresso,Frappe,,,
Coffee Styles,Regional coffee styles,,,,
Coffee Styles,Regional coffee styles,Turkish coffee,,,
Coffee Styles,Regional coffee styles,Greek coffee,,,
Coffee Styles,Regional coffee styles,Vietnamese iced coffee,,,
"Actions, Activities & Processes",,,,,
"Actions, Activities & Processes",Agents,,,,
"Actions, Activities & Processes",Agents,Baristas,,,
"Actions, Activities & Processes",Agents,Baristas,Home baristas,,
"Actions, Activities & Processes",Brewing methods,Espresso machine brewing,,,
"Actions, Activities & Processes",Brewing methods,Espresso machine brewing,Tamping,,
"Actions, Activities & Processes",Brewing methods,Espresso machine brewing,Temperature surfing,,
"Actions, Activities & Processes",Brewing methods,Espresso machine brewing,Pre-infusion,,
"Actions, Activities & Processes",Brewing methods,Espresso machine brewing,Flushing,,
"Actions, Activities & Processes",Brewing methods,Immersion brewing,,,
"Actions, Activities & Processes",Brewing methods,Immersion brewing,Cold-water brewing,,
"Actions, Activities & Processes",Brewing methods,Immersion brewing,Vacuum brewing,,
"Actions, Activities & Processes",Brewing methods,Immersion brewing,Clover brewing,,
"Actions, Activities & Processes",Brewing methods,Drip brewing,,,
"Actions, Activities & Processes",Brewing methods,Drip brewing,Flip brewing,,
"Actions, Activities & Processes",Brewing methods,Drip brewing,"Pour-over (Actions, Activities & Processes)",,
"Actions, Activities & Processes",Brewing methods,Percolation brewing,,,
"Actions, Activities & Processes",Latte art,,,,
